parcl_id,country,geoid,state_fips_code,name,state_abbreviation,region,location_type,total_population,median_income,parcl_exchange_market,pricefeed_market,case_shiller_10_market,case_shiller_20_market
2899929,USA,24860,,"Greenville-Anderson, Sc",,,CBSA,931405,66226,0,0,0,0
2899862,USA,10740,,"Albuquerque, Nm",,,CBSA,915968,63971,0,0,0,0
2887291,USA,12540,,"Bakersfield, Ca",,,CBSA,906883,63883,0,0,0,0
2899858,USA,10580,,"Albany-Schenectady-Troy, Ny",,,CBSA,901729,83360,0,0,0,0
2900030,USA,28940,,"Knoxville, Tn",,,CBSA,884359,66715,0,0,0,0
2900116,USA,32580,,"Mcallen-Edinburg-Mission, Tx",,,CBSA,873167,49371,0,0,0,0
2899589,USA,12940,,"Baton Rouge, La",,,CBSA,869755,67979,0,0,0,0
2899787,USA,21340,,"El Paso, Tx",,,CBSA,867161,55344,0,0,0,0
2900181,USA,35300,,"New Haven-Milford, Ct",,,CBSA,866377,81544,0,0,0,0
2899867,USA,10900,,"Allentown-Bethlehem-Easton, Pa-Nj",,,CBSA,863166,78597,0,0,0,0
2900192,USA,35840,,"North Port-Sarasota-Bradenton, Fl",,,CBSA,844461,74469,0,1,0,0
2900223,USA,37100,,"Oxnard-Thousand Oaks-Ventura, Ca",,,CBSA,842009,102141,0,0,0,0
2899666,USA,17900,,"Columbia, Sc",,,CBSA,831913,63471,0,0,0,0
2899742,USA,19430,,"Dayton-Kettering, Oh",,,CBSA,812506,67088,0,0,0,0
2899840,USA,16700,,"Charleston-North Charleston, Sc",,,CBSA,803398,77460,0,1,0,0
2900404,USA,44700,,"Stockton, Ca",,,CBSA,779445,82837,0,0,0,0
2899924,USA,24660,,"Greensboro-High Point, Nc",,,CBSA,775169,59567,0,0,0,0
2899822,USA,15980,,"Cape Coral-Fort Myers, Fl",,,CBSA,772902,69368,0,0,0,0
2899621,USA,14260,,"Boise City, Id",,,CBSA,771602,78138,0,1,0,0
2899664,USA,17820,,"Colorado Springs, Co",,,CBSA,755081,82334,0,0,0,0
2900070,USA,30780,,"Little Rock-North Little Rock-Conway, Ar",,,CBSA,749290,62664,0,0,0,0
2900041,USA,29460,,"Lakeland-Winter Haven, Fl",,,CBSA,736229,60901,0,1,0,0
2899752,USA,19780,,"Des Moines-West Des Moines, Ia",,,CBSA,711490,81103,0,0,0,0
2899854,USA,10420,,"Akron, Oh",,,CBSA,700578,68647,0,0,0,0
2900271,USA,39100,,"Poughkeepsie-Newburgh-Middletown, Ny",,,CBSA,697704,92870,0,0,0,0
2900201,USA,36260,,"Ogden-Clearfield, Ut",,,CBSA,696650,91022,0,0,0,0
2900391,USA,44140,,"Springfield, Ma",,,CBSA,689486,70547,0,0,0,0
2900089,USA,31540,,"Madison, Wi",,,CBSA,678995,82996,0,1,0,0
2900503,USA,49180,,"Winston-Salem, Nc",,,CBSA,678243,60145,0,0,0,0
2900276,USA,39340,,"Provo-Orem, Ut",,,CBSA,677964,91190,0,0,0,0
